"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/10/2024","233,67","233,10","234,32","232,32","35,42M","0,12%"
"28/10/2024","233,40","233,32","234,73","232,55","36,09M","0,86%"
"25/10/2024","231,41","229,74","233,22","229,57","38,80M","0,36%"
"24/10/2024","230,57","229,98","230,82","228,41","31,11M","-0,08%"
"23/10/2024","230,76","234,08","235,14","227,76","52,29M","-2,16%"
"22/10/2024","235,86","233,88","236,22","232,60","38,85M","-0,26%"
"21/10/2024","236,48","234,45","236,85","234,45","36,25M","0,63%"
"18/10/2024","235,00","236,18","236,18","234,01","46,43M","1,23%"
"17/10/2024","232,15","233,43","233,85","230,52","32,99M","0,16%"
"16/10/2024","231,78","231,60","232,12","229,84","34,08M","-0,89%"
"15/10/2024","233,85","233,61","237,49","232,37","64,75M","1,10%"
"14/10/2024","231,30","228,70","231,73","228,60","39,88M","1,65%"
"11/10/2024","227,55","229,30","229,41","227,34","31,76M","-0,65%"
