"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/10/2025","777,00","779,90","779,90","773,00","32,01K","0,52%"
"27/10/2025","773,00","775,00","776,10","773,00","2,40K","-0,88%"
"24/10/2025","779,90","772,00","780,00","772,00","31,30K","-0,01%"
"23/10/2025","780,00","775,00","785,00","768,00","65,31K","0,00%"
"22/10/2025","780,00","770,00","784,90","770,00","86,34K","1,52%"
"21/10/2025","768,30","748,00","768,30","745,30","81,01K","3,27%"
"20/10/2025","744,00","742,00","744,00","730,00","59,41K","2,20%"
"17/10/2025","728,00","730,00","736,00","720,00","64,34K","-0,27%"
"16/10/2025","730,00","735,00","739,00","715,00","65,88K","2,10%"
"15/10/2025","715,00","730,00","743,00","710,00","69,21K","-2,05%"
"14/10/2025","730,00","739,80","739,80","720,00","68,63K","-1,32%"
"13/10/2025","739,80","728,10","749,00","728,10","12,65K","1,34%"
"10/10/2025","730,00","731,00","735,00","725,00","110,29K","0,00%"
"09/10/2025","730,00","741,10","755,00","730,00","46,99K","-2,14%"
"08/10/2025","746,00","756,00","757,90","746,00","27,13K","-0,67%"
"07/10/2025","751,00","756,00","760,00","750,40","36,18K","-0,66%"
"06/10/2025","756,00","764,90","764,90","756,00","15,78K","2,16%"
"03/10/2025","740,00","731,00","751,00","731,00","110,97K","2,08%"
"02/10/2025","724,90","706,10","742,90","690,00","212,41K","-0,01%"
"01/10/2025","725,00","735,10","740,00","711,00","149,62K","-2,68%"
"30/09/2025","745,00","751,00","751,00","725,00","108,86K","-0,80%"
"29/09/2025","751,00","762,50","765,00","751,00","93,04K","-1,48%"
"26/09/2025","762,30","765,00","767,80","760,10","134,59K","-0,35%"
"25/09/2025","765,00","770,00","770,00","763,00","74,74K","-0,66%"
"24/09/2025","770,10","775,30","785,00","767,20","50,34K","-0,65%"
"23/09/2025","775,10","784,10","788,00","775,10","11,16K","-1,57%"
"22/09/2025","787,50","785,00","790,00","780,00","184,05K","1,22%"
"19/09/2025","778,00","778,90","779,00","773,50","92,62K","0,13%"
"18/09/2025","777,00","775,80","779,00","774,50","93,37K","0,23%"
"17/09/2025","775,20","771,00","776,00","771,00","130,02K","0,41%"
"16/09/2025","772,00","773,00","774,00","770,70","23,57K","0,27%"
"15/09/2025","769,90","774,90","779,90","769,90","18,63K","-0,27%"
"12/09/2025","772,00","778,80","778,80","771,00","57,44K","-0,64%"
"11/09/2025","777,00","778,90","778,90","773,00","91,16K","0,27%"
"10/09/2025","774,90","779,00","779,00","760,00","16,31K","2,23%"
"09/09/2025","758,00","778,00","784,00","758,00","52,89K","-2,82%"
"08/09/2025","780,00","780,00","783,00","780,00","87,79K","0,00%"
"04/09/2025","780,00","777,10","785,00","777,10","12,34K","0,26%"
"03/09/2025","778,00","777,10","780,00","776,00","13,85K","0,12%"
"02/09/2025","777,10","777,10","782,00","775,00","18,83K","-0,38%"
"01/09/2025","780,10","780,00","783,00","778,00","23,20K","-0,12%"
"29/08/2025","781,00","787,90","787,90","781,00","161,41K","0,00%"
"28/08/2025","781,00","777,00","787,00","777,00","40,44K","-0,70%"
"27/08/2025","786,50","785,00","786,50","775,30","31,23K","0,83%"
"26/08/2025","780,00","780,00","787,80","771,00","47,55K","-0,38%"
"25/08/2025","783,00","789,00","789,80","765,00","51,79K","-0,87%"
"22/08/2025","789,90","759,90","789,90","755,00","54,48K","4,62%"
"19/08/2025","755,00","755,20","760,00","755,00","17,78K","0,00%"
"18/08/2025","755,00","755,00","768,00","755,00","17,76K","-0,66%"
"15/08/2025","760,00","765,00","768,00","760,00","20,48K","-0,65%"
"13/08/2025","765,00","760,00","769,00","754,00","45,58K","-0,39%"
"12/08/2025","768,00","770,00","770,00","767,00","14,16K","-0,12%"
"11/08/2025","768,90","777,90","777,90","768,90","14,50K","0,13%"
"08/08/2025","767,90","779,90","790,00","767,90","81,76K","-0,23%"
"07/08/2025","769,70","767,00","775,00","760,00","35,70K","0,23%"
"06/08/2025","767,90","752,00","767,90","750,00","133,56K","1,98%"
"05/08/2025","753,00","747,50","754,00","747,50","49,94K","0,40%"
"04/08/2025","750,00","750,00","750,00","743,00","28,91K","0,00%"
"01/08/2025","750,00","765,00","765,00","750,00","23,32K","0,00%"
"31/07/2025","750,00","736,00","755,00","736,00","78,62K","1,35%"
"29/07/2025","740,00","725,10","740,00","725,10","100,08K","1,93%"
"28/07/2025","726,00","730,00","733,90","722,00","33,35K","-1,22%"
"25/07/2025","735,00","733,50","740,00","721,00","83,61K","0,68%"
"24/07/2025","730,00","710,00","730,00","707,00","61,26K","2,82%"
"23/07/2025","710,00","707,00","710,00","707,00","26,51K","-0,13%"
"22/07/2025","710,90","710,50","717,00","710,00","63,46K","-0,99%"
"21/07/2025","718,00","724,90","724,90","705,00","5,10K","-0,97%"
"18/07/2025","725,00","691,20","725,00","690,20","87,77K","3,57%"
